name,Genus
GCF_000521605.1,Mannheimia
GCF_000521655.1,Mannheimia
GCF_000521685.1,Mannheimia
GCF_000521695.1,Mannheimia
GCF_000521725.1,Bibersteinia
GCF_000521745.1,Bibersteinia
GCF_000521765.1,Bibersteinia
GCF_000558945.1,Haemophilus
GCF_000584935.1,Mannheimia
GCF_000600995.1,Haemophilus
GCF_000621105.1,Mannheimia
GCF_000636035.1,Haemophilus
GCF_000636055.1,Haemophilus
GCF_000636075.1,Haemophilus
GCF_000688815.1,Haemophilus
GCF_000688835.1,Haemophilus
GCF_000688855.1,Haemophilus
GCF_000690655.1,Haemophilus
GCF_000690675.1,Haemophilus
GCF_000698365.1,Haemophilus
GCF_000730685.1,Pasteurella
GCF_000731735.1,Pasteurella
GCF_000731745.1,Pasteurella
GCF_000731865.1,Haemophilus
GCF_000739435.1,Actinobacillus
GCF_000740985.1,Haemophilus
GCF_000742795.1,Haemophilus
GCF_000746485.1,Haemophilus
GCF_000751055.1,Haemophilus
GCF_000752475.1,Haemophilus
GCF_000752995.1,Haemophilus
GCF_000754275.1,Pasteurella
GCF_000767075.1,Haemophilus
GCF_000771775.1,Gallibacterium
GCF_000771785.1,Gallibacterium
GCF_000771795.1,Gallibacterium
GCF_000771805.1,Gallibacterium
GCF_000771855.1,Gallibacterium
GCF_000771875.1,Gallibacterium
GCF_000771895.1,Gallibacterium
GCF_000771915.1,Gallibacterium
GCF_000771935.1,Gallibacterium
GCF_000771955.1,Gallibacterium
GCF_000771975.1,Gallibacterium
GCF_000772265.1,Gallibacterium
GCF_000772275.1,Gallibacterium
GCF_000772285.1,Gallibacterium
GCF_000772295.1,Gallibacterium
GCF_000772345.1,Gallibacterium
GCF_000772365.1,Gallibacterium
GCF_000772385.1,Gallibacterium
GCF_000772395.1,Gallibacterium
GCF_000772425.1,Gallibacterium
GCF_000772445.1,Gallibacterium
GCF_000801145.1,Actinobacillus
GCF_000817445.1,Actinobacillus
GCF_000817465.1,Actinobacillus
GCF_000817485.1,Actinobacillus
GCF_000817515.1,Actinobacillus
GCF_000817525.1,Actinobacillus
GCF_000817535.1,Actinobacillus
GCF_000818925.1,Haemophilus
GCF_000819525.1,Mannheimia
GCF_000826045.1,Haemophilus
GCF_000833735.1,Haemophilus
GCF_000833745.1,Haemophilus
GCF_000833755.1,Haemophilus
GCF_000833765.1,Haemophilus
GCF_000833815.1,Haemophilus
GCF_000833835.1,Haemophilus
GCF_000833855.1,Haemophilus
GCF_000833875.1,Haemophilus
GCF_000833895.1,Haemophilus
GCF_000833915.1,Haemophilus
GCF_000833935.1,Haemophilus
GCF_000877255.1,Haemophilus
GCF_000931575.1,Haemophilus
GCF_000931605.1,Haemophilus
GCF_000931625.1,Haemophilus
GCF_000931975.1,Mannheimia
GCF_000940515.1,JordanLabGenus
GCF_000963635.1,Mannheimia
GCF_000963675.1,Mannheimia
GCF_000968335.1,Haemophilus
GCF_000969305.1,Avibacterium
GCF_000969315.1,Avibacterium
GCF_000973525.1,Pasteurella
GCF_000973565.1,Pasteurella
GCF_001007605.1,Haemophilus
GCF_001008205.1,Haemophilus
GCF_001008215.1,Haemophilus
GCF_001008225.1,Haemophilus
GCF_001008275.1,Haemophilus
GCF_001019715.1,Pasteurella
GCF_001027665.1,Pasteurella
GCF_001027685.1,Pasteurella
GCF_001027695.1,Pasteurella
GCF_001027735.1,Pasteurella
GCF_001027755.1,Pasteurella
GCF_001027805.1,Pasteurella
GCF_001027815.1,Pasteurella
GCF_001027825.1,Pasteurella
GCF_001028205.1,Pasteurella
GCF_001028225.1,Pasteurella
GCF_001028245.1,Pasteurella
GCF_001029495.1,Pasteurella
GCF_001038205.1,Actinobacillus
GCF_001052725.1,Haemophilus
GCF_001053035.1,Haemophilus
GCF_001053535.1,Haemophilus
GCF_001053575.1,Haemophilus
GCF_001053795.1,Haemophilus
GCF_001053815.1,Haemophilus
GCF_001053885.1,Haemophilus
GCF_001053915.1,Haemophilus
GCF_001054455.1,Haemophilus
GCF_001054475.1,Haemophilus
GCF_001055095.1,Haemophilus
GCF_001055275.1,Haemophilus
GCF_001055485.1,Haemophilus
GCF_001055565.1,Haemophilus
GCF_001055595.1,Haemophilus
GCF_001055615.1,Haemophilus
GCF_001055885.1,Haemophilus
GCF_001056575.1,Haemophilus
GCF_001057005.1,Haemophilus
GCF_001057195.1,Haemophilus
GCF_001058435.1,Haemophilus
GCF_001058575.1,Haemophilus
GCF_001059125.1,Haemophilus
GCF_001059185.1,Haemophilus
GCF_001059425.1,Aggregatibacter
GCF_001059815.1,Haemophilus
GCF_001064415.1,Pasteurella
GCF_001071435.1,Haemophilus
GCF_001071575.1,Haemophilus
GCF_001076115.1,Haemophilus
GCF_001076835.1,Haemophilus
GCF_001184435.1,Haemophilus
GCF_001184445.1,Haemophilus
GCF_001184475.1,Haemophilus
GCF_001184485.1,Haemophilus
GCF_001184515.1,Haemophilus
GCF_001184535.1,Haemophilus
GCF_001184545.1,Haemophilus
GCF_001184555.1,Haemophilus
GCF_001184595.1,Haemophilus
GCF_001184615.1,Haemophilus
GCF_001184635.1,Haemophilus
GCF_001184645.1,Haemophilus
GCF_001184655.1,Haemophilus
GCF_001184695.1,Haemophilus
GCF_001184705.1,Haemophilus
GCF_001188835.1,Aggregatibacter
GCF_001190115.1,Aggregatibacter
GCF_001191585.1,Aggregatibacter
GCF_001262035.1,Aggregatibacter
GCF_001276515.1,Haemophilus
GCF_001276545.1,Haemophilus
GCF_001279145.1,Haemophilus
GCF_001298185.1,Haemophilus
